candidate_id,uav_type,cargo_ids,route,prep_s,duration_s,energy_kwh,return_soc,charge_s,latest_start_s,delivery_offsets
K005434f8a76a2b48,C,"[""S003-MED-01"", ""S003-WAT-01"", ""S003-WAT-04"", ""S006-MED-01"", ""S006-WAT-01"", ""S007-MED-01"", ""S007-WAT-01""]","[""S006"", ""S007"", ""S003""]",510.0,3067.589102405376,6.1769992714084845,0.22787509107393944,2506.2706360064644,1854.260087321924,"{""S006-MED-01"": 1095.4219339808324, ""S006-WAT-01"": 1095.4219339808324, ""S007-MED-01"": 1745.739912678076, ""S007-WAT-01"": 1745.739912678076, ""S003-MED-01"": 2277.0034276030415, ""S003-WAT-01"": 2277.0034276030415, ""S003-WAT-04"": 2277.0034276030415}"
K0091c5949ebd98b1,C,"[""S006-HYG-01"", ""S006-MED-01"", ""S006-WAT-01"", ""S006-WAT-02"", ""S006-WAT-03"", ""S007-MED-01"", ""S007-WAT-01""]","[""S007"", ""S006""]",510.0,2413.563141343093,4.781738398083469,0.40228270023956636,2128.387482814273,1538.5687926377395,"{""S007-MED-01"": 1299.7432286650169, ""S007-WAT-01"": 1299.7432286650169, ""S006-HYG-01"": 2061.4312073622605, ""S006-MED-01"": 2061.4312073622605, ""S006-WAT-01"": 2061.4312073622605, ""S006-WAT-02"": 2061.4312073622605, ""S006-WAT-03"": 2061.4312073622605}"
K00989ec93b046958,B,"[""S004-WAT-01""]","[""S004""]",330.0,1861.643637063279,2.5012980451123363,0.3746754887219159,1750.5624862153456,6017.531514801694,"{""S004-WAT-01"": 1182.468485198306}"
K00af97910d6d26d1,C,"[""S003-HYG-01""]","[""S003""]",330.0,2106.0913496046687,4.678418373426114,0.4151977033217358,2100.404976136239,,"{""S003-HYG-01"": 1315.5056748023344}"
K00b7f3d7516b971d,C,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-01"", ""S001-WAT-08""]","[""S001""]",480.0,1494.1690773291593,2.309532357648675,0.7113084552939156,1458.8316801965161,2417.7304613354204,"{""S001-FOD-01"": 1182.2695386645796, ""S001-FOD-02"": 1182.2695386645796, ""S001-MED-01"": 1182.2695386645796, ""S001-MED-02"": 1182.2695386645796, ""S001-WAT-01"": 1182.2695386645796, ""S001-WAT-08"": 1182.2695386645796}"
K00c7e5eac92bcedb,B,"[""S002-FOD-01"", ""S002-MED-01"", ""S002-WAT-04""]","[""S002""]",390.0,1816.6943000984638,2.7134222874379024,0.3216444281405244,1842.4829912230912,2379.712849950768,"{""S002-FOD-01"": 1220.287150049232, ""S002-MED-01"": 1220.287150049232, ""S002-WAT-04"": 1220.287150049232}"
K00f9a4bf7fffd74f,C,"[""S012-MED-01""]","[""S012""]",330.0,1908.5906823685345,4.67103869406913,0.4161201632413587,2098.406312977056,2380.3096588157327,"{""S012-MED-01"": 1219.6903411842673}"
K01b45eb087d277a6,C,"[""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-01"", ""S001-WAT-02"", ""S001-WAT-03"", ""S001-WAT-05"", ""S013-MED-01"", ""S013-WAT-01""]","[""S013"", ""S001""]",540.0,2256.6157837540723,5.703292275623303,0.2870884655470871,2377.9749913146447,1655.2837549105072,"{""S013-MED-01"": 1247.6164665061224, ""S013-WAT-01"": 1247.6164665061224, ""S001-MED-01"": 1944.7162450894928, ""S001-MED-02"": 1944.7162450894928, ""S001-WAT-01"": 1944.7162450894928, ""S001-WAT-02"": 1944.7162450894928, ""S001-WAT-03"": 1944.7162450894928, ""S001-WAT-05"": 1944.7162450894928}"
K020499be1cc909da,C,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-FOD-03"", ""S001-HYG-01"", ""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-01"", ""S001-WAT-07""]","[""S001""]",540.0,1626.1690773291593,2.565578385924292,0.6793027017594635,1528.1774795211625,2285.7304613354204,"{""S001-FOD-01"": 1314.2695386645796, ""S001-FOD-02"": 1314.2695386645796, ""S001-FOD-03"": 1314.2695386645796, ""S001-HYG-01"": 1314.2695386645796, ""S001-MED-01"": 1314.2695386645796, ""S001-MED-02"": 1314.2695386645796, ""S001-WAT-01"": 1314.2695386645796, ""S001-WAT-07"": 1314.2695386645796}"
K025681826f4c52c5,C,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-FOD-03"", ""S001-HYG-01"", ""S001-HYG-02"", ""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-02""]","[""S001""]",540.0,1626.1690773291593,2.405026168043529,0.6993717289945589,1484.6945871784558,2285.7304613354204,"{""S001-FOD-01"": 1314.2695386645796, ""S001-FOD-02"": 1314.2695386645796, ""S001-FOD-03"": 1314.2695386645796, ""S001-HYG-01"": 1314.2695386645796, ""S001-HYG-02"": 1314.2695386645796, ""S001-MED-01"": 1314.2695386645796, ""S001-MED-02"": 1314.2695386645796, ""S001-WAT-02"": 1314.2695386645796}"
K02850362afd6dd16,C,"[""S003-FOD-01"", ""S003-FOD-02"", ""S003-HYG-01"", ""S003-MED-01"", ""S003-WAT-02""]","[""S003""]",450.0,2370.0913496046687,5.209161832281397,0.3488547709648254,2244.147996242878,5620.494325197666,"{""S003-FOD-01"": 1579.5056748023344, ""S003-FOD-02"": 1579.5056748023344, ""S003-HYG-01"": 1579.5056748023344, ""S003-MED-01"": 1579.5056748023344, ""S003-WAT-02"": 1579.5056748023344}"
K02e6026c990ae188,C,"[""S007-MED-01"", ""S007-WAT-01"", ""S008-HYG-01"", ""S008-MED-01"", ""S015-MED-01""]","[""S007"", ""S015"", ""S008""]",450.0,3209.7696270249335,6.294919361754017,0.21313507978074786,2538.207327141713,2360.256771334983,"{""S007-MED-01"": 1239.7432286650169, ""S007-WAT-01"": 1239.7432286650169, ""S015-MED-01"": 1679.6769157274211, ""S008-HYG-01"": 2507.7590204822027, ""S008-MED-01"": 2507.7590204822027}"
K0321a35de3719d4e,C,"[""S001-FOD-01"", ""S001-FOD-02"", ""S001-MED-01"", ""S001-MED-02"", ""S001-WAT-04""]","[""S001""]",450.0,1428.1690773291593,2.1435782470816216,0.7320527191147973,1413.8857752512727,2483.7304613354204,"{""S001-FOD-01"": 1116.2695386645796, ""S001-FOD-02"": 1116.2695386645796, ""S001-MED-01"": 1116.2695386645796, ""S001-MED-02"": 1116.2695386645796, ""S001-WAT-04"": 1116.2695386645796}"
K03d7d00ffc0931b1,C,"[""S002-MED-01""]","[""S002""]",330.0,1777.8123848152607,4.643432815057709,0.41957089811778636,2090.929720744796,2442.6838075923697,"{""S002-MED-01"": 1157.3161924076303}"
