node_id,table_ground_m,dem_ground_m,difference_m
O01,127.7,128.7255401611328,-1.0255401611328097
S001,154.0,153.96136474609375,0.03863525390625
S002,189.5,188.7942352294922,0.7057647705078125
S003,308.5,308.51068115234375,-0.01068115234375
S004,198.3,195.11575317382812,3.1842468261718864
S005,165.0,169.03955078125,-4.03955078125
S006,284.8,275.1272277832031,9.672772216796886
S007,318.5,314.2220458984375,4.2779541015625
S008,240.9,248.2891845703125,-7.389184570312494
S009,200.0,189.4370880126953,10.562911987304688
S010,321.6,321.5816650390625,0.018334960937522737
S011,182.1,178.04286193847656,4.057138061523432
S012,249.8,253.31507873535156,-3.515078735351551
S013,321.7,321.70806884765625,-0.008068847656261369
S014,321.0,320.9825134277344,0.017486572265625
S015,444.5,436.229248046875,8.270751953125
